Quartier,Villes,Latitude,Longitude
Quartier Saint-Germain-l'Auxerrois,Paris,48.860562,2.336489
Les Halles,Paris,48.862567,2.345809
Quartier du Palais-Royal,Paris,48.863357,2.336062
Paris,Paris,48.859116,2.331839
Paris,Paris,48.859116,2.331839
Paris,Paris,48.859116,2.331839
Paris,Paris,48.859116,2.331839
Paris,Paris,48.859116,2.331839
Paris,Paris,48.859116,2.331839
Passage Sainte-Avoye,Paris,48.860604,2.356085
Quartier Saint-Merri,Paris,48.858816,2.351523
Paris,Paris,48.859116,2.331839
Paris,Paris,48.859116,2.331839
Notre-Dame,Paris,48.851818,2.3501
Quartier Saint-Victor,Paris,48.848381,2.357035
Paris,Paris,48.859116,2.331839
Paris,Paris,48.859116,2.331839
Quartier de la Sorbonne,Paris,48.849401,2.345472
Paris,Paris,48.859116,2.331839
Paris,Paris,48.859116,2.331839
Paris,Paris,48.859116,2.331839
Saint-Germain-des-Prés,Paris,48.854497,2.333945
Quartier Saint-Thomas-d'Aquin,Paris,48.859673,2.326475
Invalides,Paris,48.857891,2.315424
Paris,Paris,48.859116,2.331839
Paris,Paris,48.859116,2.331839
Champs-Élysées,Paris,48.870763,2.30516
Paris,Paris,48.859116,2.331839
Paris,Paris,48.859116,2.331839
Saint-Georges,Paris,3.723483,-52.139352
Paris,Paris,48.859116,2.331839
Paris,Paris,48.859116,2.331839
Saint-Vincent-de-Paul,Paris,44.953695,-0.469215
Théâtre de la Porte-Saint-Martin,Paris,48.869092,2.356953
Paris,Paris,48.859116,2.331839
République Saint-Ambroise,Paris,48.863374,2.370466
Paris,Paris,48.859116,2.331839
Sainte-Marguerite,Paris,48.276046,6.968858
Nation-Picpus,Paris,48.845662,2.396831
Paris,Paris,48.859116,2.331839
Bercy,Paris,48.837277,2.383249
Paris,Paris,48.859116,2.331839
Paris,Paris,48.859116,2.331839
Paris,Paris,48.859116,2.331839
Paris,Paris,48.859116,2.331839
Montparnasse,Paris,48.843076,2.327227
Petit-Montrouge,Paris,48.825277,2.329282
Paris,Paris,48.859116,2.331839
Paris,Paris,48.859116,2.331839
Grenelle,Paris,48.846331,2.290858
Javel,Paris,48.841323,2.280845
Auteuil,Paris,48.848047,2.267539
Paris,Paris,48.859116,2.331839
Paris,Paris,48.859116,2.331839
Paris,Paris,48.859116,2.331839
Paris,Paris,48.859116,2.331839
Batignolles,Paris,48.886277,2.320842
Épinettes,Paris,48.893485,2.321994
Paris,Paris,48.859116,2.331839
Goutte d'Or,Paris,48.885548,2.352578
La Chapelle,Paris,48.891985,2.363105
Paris,Paris,48.859116,2.331839
Paris,Paris,48.859116,2.331839
Paris,Paris,48.859116,2.331839
Belleville,Paris,48.873134,2.384233
Saint-Fargeau,Paris,47.64008,3.069979
Paris,Paris,48.859116,2.331839
Paris,Paris,48.859116,2.331839
La Acebeda,Spain,41.086938,-3.625261
Alameda del Valle,Spain,40.9187,-3.84243
Alcala de Henares,Spain,40.48108,-3.372888
Alcorcón,Spain,40.344203,-3.817957
Algete,Spain,40.598177,-3.501335
Ambite,Spain,40.319363,-3.179227
Aranjuez,Spain,40.03323,-3.602144
Arroyomolinos,Spain,40.267136,-3.91827
Batres,Spain,40.247591,-3.940962
Belmonte de Tajo,Spain,40.133025,-3.338049
Berzosa Del Lozoya,Spain,40.975005,-3.527733
Boalo,Spain,40.714911,-3.919611
Brea De Tajo,Spain,40.2424,-3.121901
Buitrago,Spain,40.990507,-3.638194
Cabanillas de la Sierra,Spain,40.829503,-3.628712
Cadalso,Spain,40.301907,-4.438665
Campo Real,Spain,40.339517,-3.380458
Carabaña,Spain,40.256871,-3.238404
Cenicientos,Spain,40.245051,-4.514185
Cervera de Buitrago,Spain,40.91988,-3.52702
Chinchón,Spain,40.14016,-3.418692
Cobeña,Spain,40.570152,-3.502117
Collado Villalba,Spain,40.636196,-4.002027
Colmenar del Arroyo,Spain,40.421778,-4.197461
Colmenarejo,Spain,40.559119,-4.013777
Coslada,Spain,40.428232,-3.551496
Daganzo de Arriba,Spain,40.542165,-3.460624
Estremera,Spain,40.184064,-3.107382
Fresno De Torote,Spain,40.608973,-3.412301
Fuente el Saz de Jarama,Spain,40.634362,-3.515329
Galapagar,Spain,40.574641,-4.003271
Buitrago,Spain,40.990507,-3.638194
Getafe,Spain,40.30904,-3.733448
Guadalix de la Sierra,Spain,40.782779,-3.704325
La Hiruela,Spain,41.07787,-3.4549
Horcajuelo De La Sierra,Spain,41.092241,-3.53966
Humanes de Madrid,Spain,40.275043,-3.816102
Loeches,Spain,40.389372,-3.413884
Madrid,Spain,40.429913,-3.669245
Manzanares el Real,Spain,40.731149,-3.87025
Mejorada del Campo,Spain,40.392968,-3.48415
Molar,Spain,40.735319,-3.585915
Montejo de la Sierra,Spain,41.05955,-3.52993
Moralzarzal,Spain,40.675002,-3.969993
Mostoles,Spain,40.324337,-3.865044
Navalafuente,Spain,40.817339,-3.673927
Navalcarnero,Spain,40.28874,-4.011707
Navas del Rey,Spain,40.386701,-4.252047
Olmeda De Las Fuentes,Spain,40.368184,-3.208997
Ajalvir,Spain,40.532451,-3.482573
Álamo,Spain,40.230776,-3.992427
Alcobendas,Spain,40.541992,-3.64982
Aldea del Fresno,Spain,40.321466,-4.200261
Alpedrete,Spain,40.659263,-4.037855
Anchuelo,Spain,40.466472,-3.267794
Arganda del Rey,Spain,40.308932,-3.459003
El Atazar,Spain,40.93237,-3.46849
Becerril de la Sierra,Spain,40.709152,-3.992598
El Berrueco,Spain,40.880902,-3.557844
Boadilla del Monte,Spain,40.433449,-3.895024
Braojos,Spain,41.0404,-3.64329
Brunete,Spain,40.405974,-3.99932
Bustarviejo,Spain,40.859006,-3.709813
Cabrera,Spain,40.867755,-3.612531
Camarma de Esteruelas,Spain,40.551604,-3.376523
Canencia,Spain,40.907344,-3.738919
Casarrubuelos,Spain,40.171741,-3.824268
Cercedilla,Spain,40.738994,-4.055792
Chapinería,Spain,40.379113,-4.209767
Ciempozuelos,Spain,40.15929,-3.620599
Collado Mediano,Spain,40.693572,-4.031037
Colmenar de Oreja,Spain,40.108991,-3.38857
Colmenar Viejo,Spain,40.661261,-3.77035
Corpa,Spain,40.42327,-3.26003
Cubas de la Sagra,Spain,40.194035,-3.841378
L'Escurial,Paris,48.631805,-2.466481
Fresnedillas de la Oliva,Spain,40.489117,-4.169078
Fuenlabrada,Spain,40.285936,-3.800295
Fuentidueña de Tajo,Spain,40.118075,-3.159057
Garganta De Los Montes,Spain,40.924932,-3.690232
Gascones,Spain,41.01843,-3.64217
Griñón,Spain,40.214307,-3.85339
Guadarrama,Spain,40.67581,-4.097226
Horcajo,Spain,40.408067,-3.62794
Hoyo de Manzanares,Spain,40.622148,-3.909191
Leganes,Spain,40.330398,-3.760827
Lozoya,Spain,40.955628,-3.797283
Madarcos,Spain,41.041289,-3.571897
Majadahonda,Spain,40.472038,-3.863603
Meco,Spain,40.551481,-3.327936
Miraflores de la Sierra,Spain,40.81065,-3.76748
Molinos,Spain,40.710429,-4.076149
Moraleja de Enmedio,Spain,40.26293,-3.852826
Morata de Tajuña,Spain,40.229722,-3.436754
Navacerrada,Spain,40.730032,-4.016194
Navalagamella,Spain,40.469088,-4.122602
Navarredonda Y San Mamés,Spain,41.004399,-3.728456
Nuevo Baztán,Spain,40.365161,-3.243426
Orusco de Tajuña,Spain,40.285067,-3.208488
Parla,Spain,40.238238,-3.768859
Pedrezuela,Spain,40.745794,-3.599456
Perales de Tajuña,Spain,40.233688,-3.352945
Pinilla del Valle,Spain,40.92448,-3.81688
Piñuécar-Gandullas,Spain,41.032499,-3.598684
Pozuelo Del Rey,Spain,40.361015,-3.30828
Puebla De La Sierra,Spain,41.00361,-3.452912
Quijorna,Spain,40.43042,-4.058326
Redueña,Spain,40.81685,-3.59837
Rivas-Vaciamadrid,Spain,40.330715,-3.515658
Robledo de Chavela,Spain,40.514785,-4.250124
Las Rozas de Madrid,Spain,40.490599,-3.870233
San Agustín del Guadalix,Spain,40.679382,-3.615093
El Escorial,Spain,40.591397,-4.148866
San Martín de Valdeiglesias,Spain,40.364203,-4.400885
Santa María De La Alameda,Spain,40.572882,-4.236879
Santos de la Humosa,Spain,40.503177,-3.251893
Serranillos,Spain,40.206565,-3.878773
Somosierra,Spain,41.139803,-3.567993
Talamanca de Jarama,Spain,40.745786,-3.511307
Titulcia,Spain,40.137889,-3.570694
Torrejón de la Calzada,Spain,40.1999,-3.800129
Torrelaguna,Spain,40.826912,-3.535764
Torremocha,Spain,40.839836,-3.497557
Tres Cantos,Spain,40.605507,-3.706718
Valdeavero,Spain,40.6298,-3.33001
Valdemanco,Spain,40.865914,-3.673443
Valdemorillo,Spain,40.500092,-4.06661
Valdeolmos-Alalpardo,Spain,40.634725,-3.46249
Valdetorres de Jarama,Spain,40.694718,-3.513689
Valverde de Alcalá,Spain,40.41667,-3.29631
Vellón,Spain,40.767816,-3.582811
Villa del Prado,Spain,40.275922,-4.30304
Villalbilla,Spain,40.432648,-3.301671
Villamanta,Spain,40.298387,-4.109715
Villanueva de la Cañada,Spain,40.444987,-4.002756
Villanueva del Pardillo,Spain,40.491687,-3.96378
Villarejo de Salvanés,Spain,40.168578,-3.275928
Villavieja Del Lozoya,Spain,41.046573,-3.723013
Paracuellos de Jarama,Spain,40.504276,-3.529517
Patones,Spain,40.855185,-3.483244
Pelayos de la Presa,Spain,40.383346,-4.352903
Pezuela de las Torres,Spain,40.418308,-3.176536
Pinto,Spain,40.245928,-3.699606
Pozuelo,Spain,40.441821,-3.809908
Prádena Del Rincón,Spain,41.036175,-3.506537
Puentes Viejas,Spain,40.96964,-3.56047
Rascafría,Spain,40.903587,-3.879528
Ribatejada,Spain,40.667062,-3.391018
Robledillo De La Jara,Spain,40.948605,-3.51993
Robregordo,Spain,41.10656,-3.59369
Rozas De Puerto Real,Spain,40.300835,-4.514649
San Fernando de Henares,Spain,40.425238,-3.527708
San Martín de la Vega,Spain,40.209894,-3.57993
San Sebastián de los Reyes,Spain,40.554265,-3.630702
Santorcaz,Spain,40.47176,-3.23462
La Serna Del Monte,Spain,41.032884,-3.623736
Sevilla la Nueva,Spain,40.347706,-4.027518
Soto del Real,Spain,40.753806,-3.781135
Tielmes,Spain,40.247425,-3.311256
Torrejón de Ardoz,Spain,40.460689,-3.473215
Torrejón de Velasco,Spain,40.187783,-3.775788
Torrelodones,Spain,40.578632,-3.928787
Torres de la Alameda,Spain,40.411663,-3.378182
Valdaracete,Spain,40.210551,-3.195695
Valdelaguna,Spain,40.158804,-3.370632
Valdemaqueda,Spain,40.51014,-4.297767
Valdemoro,Spain,40.191304,-3.680276
Valdepiélagos,Spain,40.75842,-3.46164
Valdilecha,Spain,40.295604,-3.30195
Velilla de San Antonio,Spain,40.356279,-3.478247
Venturada,Spain,40.796254,-3.621788
Villaconejos,Spain,40.10358,-3.485748
Villamanrique de Tajo,Spain,40.067381,-3.240473
Villamantilla,Spain,40.342206,-4.129782
Villanueva de Perales,Spain,40.346165,-4.102473
Villar Del Olmo,Spain,40.333959,-3.236434
Villaviciosa de Odón,Spain,40.357061,-3.880261
Zarzalejo,Spain,40.539997,-4.162151
The Borough,London,51.50284,-0.101212
Greenwich,London,51.48006,-0.002217
Ealing,London,51.510513,-0.307506
Westminster,London,51.497991,-0.12875
Bromley,London,51.526178,-0.009458
Islington,London,51.539064,-0.101269
Islington,London,51.539064,-0.101269
Enfield,London,51.654355,-0.082138
Wandsworth,London,51.455404,-0.191963
Southwark,London,51.486392,-0.079235
Richmond upon Thames,London,51.458877,-0.301425
London,London,51.509648,-0.099076
Islington,London,51.539064,-0.101269
Wandsworth,London,51.455404,-0.191963
Westminster,London,51.497991,-0.12875
Newham,London,51.521002,0.031675
Ealing,London,51.510513,-0.307506
Westminster,London,51.497991,-0.12875
Lewisham,London,51.461009,-0.014498
Camden,London,51.543487,-0.163523
Southwark,London,51.486392,-0.079235
Tower Hamlets,London,51.520821,-0.056456
Lewisham,London,51.461009,-0.014498
Greenwich,London,51.48006,-0.002217
Tower Hamlets,London,51.520821,-0.056456
Camden,London,51.543487,-0.163523
Haringey,London,51.595035,-0.091628
Tower Hamlets,London,51.520821,-0.056456
Haringey,London,51.595035,-0.091628
London,London,51.509648,-0.099076
Brent,London,51.561808,-0.26597
Lambeth,London,51.496102,-0.116494
Lewisham,London,51.461009,-0.014498
Tower Hamlets,London,51.520821,-0.056456
London,London,51.509648,-0.099076
Brent,London,51.561808,-0.26597
London,London,51.509648,-0.099076
London,London,51.509648,-0.099076
Southwark,London,51.486392,-0.079235
Tower Hamlets,London,51.520821,-0.056456
Camden,London,51.543487,-0.163523
Tower Hamlets,London,51.520821,-0.056456
Waltham Forest,London,51.603059,-0.014671
Newham,London,51.521002,0.031675
Islington,London,51.539064,-0.101269
Richmond upon Thames,London,51.458877,-0.301425
Lewisham,London,51.461009,-0.014498
Camden,London,51.543487,-0.163523
Westminster,London,51.497991,-0.12875
Greenwich,London,51.48006,-0.002217
London,London,51.509648,-0.099076
London,London,51.509648,-0.099076
Westminster,London,51.497991,-0.12875
Lewisham,London,51.461009,-0.014498
Waltham Forest,London,51.603059,-0.014671
Ealing,London,51.510513,-0.307506
Brent,London,51.561808,-0.26597
London,London,51.509648,-0.099076
Wandsworth,London,51.455404,-0.191963
Islington,London,51.539064,-0.101269
London,London,51.509648,-0.099076
Merton,London,51.413048,-0.188837
London,London,51.509648,-0.099076
Westminster,London,51.497991,-0.12875
Camden,London,51.543487,-0.163523
Lewisham,London,51.461009,-0.014498
Bexley,London,51.445655,0.14899
Haringey,London,51.595035,-0.091628
Bromley,London,51.526178,-0.009458
Tower Hamlets,London,51.520821,-0.056456
Newham,London,51.521002,0.031675
Hackney,London,51.545361,-0.056455
London,London,51.509648,-0.099076
Islington,London,51.539064,-0.101269
Southwark,London,51.486392,-0.079235
Lewisham,London,51.461009,-0.014498
Brent,London,51.561808,-0.26597
Southwark,London,51.486392,-0.079235
Ealing,London,51.510513,-0.307506
London,London,51.509648,-0.099076
Wandsworth,London,51.455404,-0.191963
Southwark,London,51.486392,-0.079235
London,London,51.509648,-0.099076
Newham,London,51.521002,0.031675
Richmond upon Thames,London,51.458877,-0.301425
Enfield,London,51.654355,-0.082138
Southwark,London,51.486392,-0.079235
Greenwich,London,51.48006,-0.002217
Greenwich,London,51.48006,-0.002217
City and Islington College,London,51.564001,-0.103144
London,London,51.509648,-0.099076
Islington,London,51.539064,-0.101269
Islington,London,51.539064,-0.101269
Camden,London,51.543487,-0.163523
Newham,London,51.521002,0.031675
Lewisham,London,51.461009,-0.014498
Haringey,London,51.595035,-0.091628
London,London,51.509648,-0.099076
Camden,London,51.543487,-0.163523
London,London,51.509648,-0.099076
Lambeth,London,51.496102,-0.116494
London,London,51.509648,-0.099076
Camden,London,51.543487,-0.163523
London,London,51.509648,-0.099076
Enfield,London,51.654355,-0.082138
Greenwich,London,51.48006,-0.002217
Hounslow,London,51.466478,-0.361878
Lewisham,London,51.461009,-0.014498
Hounslow,London,51.466478,-0.361878
Hackney,London,51.545361,-0.056455
Hackney,London,51.545361,-0.056455
Hackney,London,51.545361,-0.056455
Hackney,London,51.545361,-0.056455
Hackney,London,51.545361,-0.056455
London,London,51.509648,-0.099076
London,London,51.509648,-0.099076
Camden,London,51.543487,-0.163523
London,London,51.509648,-0.099076
Ealing,London,51.510513,-0.307506
Brent,London,51.561808,-0.26597
Haringey,London,51.595035,-0.091628
London,London,51.509648,-0.099076
Lambeth,London,51.496102,-0.116494
Waltham Forest,London,51.603059,-0.014671
Islington,London,51.539064,-0.101269
Camden,London,51.543487,-0.163523
Lewisham,London,51.461009,-0.014498
Camden,London,51.543487,-0.163523
London,London,51.509648,-0.099076
Islington,London,51.539064,-0.101269
Hackney,London,51.545361,-0.056455
Lewisham,London,51.461009,-0.014498
Lewisham,London,51.461009,-0.014498
Haringey,London,51.595035,-0.091628
Hackney,London,51.545361,-0.056455
London,London,51.509648,-0.099076
Tower Hamlets,London,51.520821,-0.056456
Islington,London,51.539064,-0.101269
Southwark,London,51.486392,-0.079235
Brent,London,51.561808,-0.26597
London,London,51.509648,-0.099076
Camden,London,51.543487,-0.163523
Greenwich,London,51.48006,-0.002217
Camden,London,51.543487,-0.163523
City and Islington College,London,51.564001,-0.103144
Brent,London,51.561808,-0.26597
Kingston upon Thames,London,51.409565,-0.310941
Westminster,London,51.497991,-0.12875
Lewisham,London,51.461009,-0.014498
Lambeth,London,51.496102,-0.116494
Hackney,London,51.545361,-0.056455
Tower Hamlets,London,51.520821,-0.056456
Lewisham,London,51.461009,-0.014498
Lewisham,London,51.461009,-0.014498
Waltham Forest,London,51.603059,-0.014671
Waltham Forest,London,51.603059,-0.014671
Tower Hamlets,London,51.520821,-0.056456
Westminster,London,51.497991,-0.12875
Newham,London,51.521002,0.031675
Westminster,London,51.497991,-0.12875
Bexley,London,51.445655,0.14899
Hackney,London,51.545361,-0.056455
Westminster,London,51.497991,-0.12875
Hackney,London,51.545361,-0.056455
Newham,London,51.521002,0.031675
Newham,London,51.521002,0.031675
Westminster,London,51.497991,-0.12875
Westminster,London,51.497991,-0.12875
Greenwich,London,51.48006,-0.002217
Merton,London,51.413048,-0.188837
Greenwich,London,51.48006,-0.002217
Tower Hamlets,London,51.520821,-0.056456
London,London,51.509648,-0.099076
Westminster,London,51.497991,-0.12875
Tower Hamlets,London,51.520821,-0.056456
Richmond upon Thames,London,51.458877,-0.301425
Bromley,London,51.526178,-0.009458
Haringey,London,51.595035,-0.091628
Islington,London,51.539064,-0.101269
Brent,London,51.561808,-0.26597
Lewisham,London,51.461009,-0.014498
Greenwich,London,51.48006,-0.002217
London,London,51.509648,-0.099076
Southwark,London,51.486392,-0.079235
Wandsworth,London,51.455404,-0.191963
Croydon,London,51.373327,-0.092786
London,London,51.509648,-0.099076
London,London,51.509648,-0.099076
Newham,London,51.521002,0.031675
London,London,51.509648,-0.099076
Southwark,London,51.486392,-0.079235
London,London,51.509648,-0.099076
Tower Hamlets,London,51.520821,-0.056456
London,London,51.509648,-0.099076
London,London,51.509648,-0.099076
Lambeth,London,51.496102,-0.116494
Westminster,London,51.497991,-0.12875
Enfield,London,51.654355,-0.082138
Ealing,London,51.510513,-0.307506
London,London,51.509648,-0.099076
Southwark,London,51.486392,-0.079235
Bromley,London,51.526178,-0.009458
Islington,London,51.539064,-0.101269
Westminster,London,51.497991,-0.12875
Newham,London,51.521002,0.031675
Greenwich,London,51.48006,-0.002217
Tower Hamlets,London,51.520821,-0.056456
Camden,London,51.543487,-0.163523
Wandsworth,London,51.455404,-0.191963
Brent,London,51.561808,-0.26597
Tower Hamlets,London,51.520821,-0.056456
Merton,London,51.413048,-0.188837
Wandsworth,London,51.455404,-0.191963
Southwark,London,51.486392,-0.079235
London,London,51.509648,-0.099076
Croydon,London,51.373327,-0.092786
Haringey,London,51.595035,-0.091628
Hackney,London,51.545361,-0.056455
Tower Hamlets,London,51.520821,-0.056456
London,London,51.509648,-0.099076
Greenwich,London,51.48006,-0.002217
Hackney,London,51.545361,-0.056455
Newham,London,51.521002,0.031675
Waltham Forest,London,51.603059,-0.014671
Westminster,London,51.497991,-0.12875
Camden,London,51.543487,-0.163523
Hackney,London,51.545361,-0.056455
London,London,51.509648,-0.099076
Croydon,London,51.373327,-0.092786
Merton,London,51.413048,-0.188837
Redbridge,London,51.57414,0.048004
Haringey,London,51.595035,-0.091628
Lewisham,London,51.461009,-0.014498
Wandsworth,London,51.455404,-0.191963
Enfield,London,51.654355,-0.082138
Tower Hamlets,London,51.520821,-0.056456
Westminster,London,51.497991,-0.12875
Camden,London,51.543487,-0.163523
Lewisham,London,51.461009,-0.014498
Westminster,London,51.497991,-0.12875
Islington,London,51.539064,-0.101269
Camden,London,51.543487,-0.163523
Hackney,London,51.545361,-0.056455
Tower Hamlets,London,51.520821,-0.056456
Lambeth,London,51.496102,-0.116494
Hackney,London,51.545361,-0.056455
Brent,London,51.561808,-0.26597
Newham,London,51.521002,0.031675
Lambeth,London,51.496102,-0.116494
Haringey,London,51.595035,-0.091628
Southwark,London,51.486392,-0.079235
Camden,London,51.543487,-0.163523
Bromley,London,51.526178,-0.009458
Southwark,London,51.486392,-0.079235
Greenwich,London,51.48006,-0.002217
Wandsworth,London,51.455404,-0.191963
Wandsworth,London,51.455404,-0.191963
Haringey,London,51.595035,-0.091628
Haringey,London,51.595035,-0.091628
Haringey,London,51.595035,-0.091628
London,London,51.509648,-0.099076
Tower Hamlets,London,51.520821,-0.056456
Camden,London,51.543487,-0.163523
Lambeth,London,51.496102,-0.116494
Haringey,London,51.595035,-0.091628
Hackney,London,51.545361,-0.056455
Islington,London,51.539064,-0.101269
Croydon,London,51.373327,-0.092786
Waltham Forest,London,51.603059,-0.014671
Newham,London,51.521002,0.031675
Lambeth,London,51.496102,-0.116494
Waltham Forest,London,51.603059,-0.014671
Waltham Forest,London,51.603059,-0.014671
Southwark,London,51.486392,-0.079235
Wandsworth,London,51.455404,-0.191963
Redbridge,London,51.57414,0.048004
Tower Hamlets,London,51.520821,-0.056456
Greenwich,London,51.48006,-0.002217
London,London,51.509648,-0.099076
Ealing,London,51.510513,-0.307506
Haringey,London,51.595035,-0.091628
Hackney,London,51.545361,-0.056455
Newham,London,51.521002,0.031675
Camden,London,51.543487,-0.163523
Bexley,London,51.445655,0.14899
London,London,51.509648,-0.099076
London,London,51.509648,-0.099076
Lambeth,London,51.496102,-0.116494
Greenwich,London,51.48006,-0.002217
Westminster,London,51.497991,-0.12875
London,London,51.509648,-0.099076
London,London,51.509648,-0.099076
Tower Hamlets,London,51.520821,-0.056456
Brent,London,51.561808,-0.26597
Merton,London,51.413048,-0.188837
Enfield,London,51.654355,-0.082138
Haringey,London,51.595035,-0.091628
Redbridge,London,51.57414,0.048004
Waltham Forest,London,51.603059,-0.014671
London,London,51.509648,-0.099076
Greenwich,London,51.48006,-0.002217
London,London,51.509648,-0.099076
